date,value,basin,zone,variable
1917-05,91.29424625679455,Blanco,Contributing,pet
1917-06,166.3273234545294,Blanco,Contributing,pet
1917-07,189.953871077322,Blanco,Contributing,pet
1917-08,185.46866787953036,Blanco,Contributing,pet
1917-09,117.77959730089434,Blanco,Contributing,pet
1917-10,58.182403459287315,Blanco,Contributing,pet
1917-11,33.55808565888124,Blanco,Contributing,pet
1917-12,10.088857587039259,Blanco,Contributing,pet
1918-01,4.499858349489439,Blanco,Contributing,pet
1918-02,21.195979750178825,Blanco,Contributing,pet
1918-03,53.272996200452134,Blanco,Contributing,pet
1918-04,66.00565031094864,Blanco,Contributing,pet
1918-05,119.3513251337761,Blanco,Contributing,pet
1918-06,175.00462606390997,Blanco,Contributing,pet
1918-07,195.87608632670157,Blanco,Contributing,pet
1918-08,186.16793345531067,Blanco,Contributing,pet
1918-09,100.31766083739258,Blanco,Contributing,pet
1918-10,71.26662280796366,Blanco,Contributing,pet
1918-11,23.020244585421107,Blanco,Contributing,pet
1918-12,17.476267582053048,Blanco,Contributing,pet
1919-01,10.992629949139744,Blanco,Contributing,pet
1919-02,15.312930586179174,Blanco,Contributing,pet
1919-03,38.506554991553344,Blanco,Contributing,pet
1919-04,70.13867985802314,Blanco,Contributing,pet
1919-05,102.85750456443891,Blanco,Contributing,pet
1919-06,128.1578568424072,Blanco,Contributing,pet
1919-07,152.26455541521887,Blanco,Contributing,pet
1919-08,154.9800921437531,Blanco,Contributing,pet
1919-09,115.93516663747121,Blanco,Contributing,pet
1919-10,90.89322261156386,Blanco,Contributing,pet
1919-11,33.7459340795597,Blanco,Contributing,pet
1919-12,14.653165567557823,Blanco,Contributing,pet
1920-01,8.615639217672983,Blanco,Contributing,pet
1920-02,21.995959243407675,Blanco,Contributing,pet
1920-03,36.66560609882759,Blanco,Contributing,pet
1920-04,67.7446643570489,Blanco,Contributing,pet
1920-05,129.7933358031582,Blanco,Contributing,pet
1920-06,139.78009083321308,Blanco,Contributing,pet
1920-07,186.79080891718303,Blanco,Contributing,pet
1920-08,155.44977507327826,Blanco,Contributing,pet
1920-09,132.85820300818142,Blanco,Contributing,pet
1920-10,71.52162984997679,Blanco,Contributing,pet
1920-11,23.738352611282355,Blanco,Contributing,pet
1920-12,15.714781000170817,Blanco,Contributing,pet
1921-01,21.26673685075079,Blanco,Contributing,pet
1921-02,19.17769201700865,Blanco,Contributing,pet
1921-03,56.48284864260887,Blanco,Contributing,pet
1921-04,52.605286771216065,Blanco,Contributing,pet
1921-05,104.95942489989596,Blanco,Contributing,pet
1921-06,150.4865710530553,Blanco,Contributing,pet
1921-07,181.44907866784249,Blanco,Contributing,pet
1921-08,184.08673203796656,Blanco,Contributing,pet
1921-09,140.82353867100483,Blanco,Contributing,pet
1921-10,66.9702849729822,Blanco,Contributing,pet
1921-11,44.546953371704305,Blanco,Contributing,pet
1921-12,23.41001921019913,Blanco,Contributing,pet
1922-01,8.10036580699561,Blanco,Contributing,pet
1922-02,22.41949195219725,Blanco,Contributing,pet
1922-03,35.20102887838731,Blanco,Contributing,pet
1922-04,72.06667424374632,Blanco,Contributing,pet
1922-05,126.06555630215831,Blanco,Contributing,pet
1922-06,153.1563421378857,Blanco,Contributing,pet
1922-07,188.95393645404772,Blanco,Contributing,pet
1922-08,183.9940613642429,Blanco,Contributing,pet
1922-09,120.58404556225886,Blanco,Contributing,pet
1922-10,68.65650984182349,Blanco,Contributing,pet
1922-11,34.57588273387966,Blanco,Contributing,pet
1922-12,24.815775940553863,Blanco,Contributing,pet
1923-01,31.523901341678023,Blanco,Contributing,pet
1923-02,13.445924474926766,Blanco,Contributing,pet
1923-03,28.610562536942986,Blanco,Contributing,pet
1923-04,68.86072479886604,Blanco,Contributing,pet
1923-05,117.86161338461264,Blanco,Contributing,pet
1923-06,170.53088646511947,Blanco,Contributing,pet
1923-07,184.2144172451164,Blanco,Contributing,pet
1923-08,180.38626137585152,Blanco,Contributing,pet
1923-09,125.45954355657088,Blanco,Contributing,pet
1923-10,59.2654457944254,Blanco,Contributing,pet
1923-11,23.933295007181336,Blanco,Contributing,pet
1923-12,19.54193500608418,Blanco,Contributing,pet
1924-01,5.763558931821323,Blanco,Contributing,pet
1924-02,16.235787623064905,Blanco,Contributing,pet
1924-03,27.555479485631107,Blanco,Contributing,pet
1924-04,68.29192262576031,Blanco,Contributing,pet
1924-05,95.05781630759503,Blanco,Contributing,pet
1924-06,159.5538375127069,Blanco,Contributing,pet
1924-07,169.52589788695064,Blanco,Contributing,pet
1924-08,184.712947258731,Blanco,Contributing,pet
1924-09,113.08218999907267,Blanco,Contributing,pet
1924-10,73.68470902173532,Blanco,Contributing,pet
1924-11,42.860315357381424,Blanco,Contributing,pet
1924-12,14.911412993151988,Blanco,Contributing,pet
1925-01,5.691411530791301,Blanco,Contributing,pet
1925-02,26.48723807489821,Blanco,Contributing,pet
1925-03,52.20635510675294,Blanco,Contributing,pet
1925-04,99.80638064599526,Blanco,Contributing,pet
1925-05,128.29128392537396,Blanco,Contributing,pet
1925-06,192.2883971715067,Blanco,Contributing,pet
1925-07,214.5582794124258,Blanco,Contributing,pet
1925-08,178.49793355776836,Blanco,Contributing,pet
1925-09,136.53725428579313,Blanco,Contributing,pet
1925-10,60.237137597143985,Blanco,Contributing,pet
1925-11,24.869824527885733,Blanco,Contributing,pet
1925-12,6.9520119057223875,Blanco,Contributing,pet
1926-01,8.215000446505046,Blanco,Contributing,pet
1926-02,27.673867690223204,Blanco,Contributing,pet
1926-03,29.28558443575966,Blanco,Contributing,pet
1926-04,54.490555802574725,Blanco,Contributing,pet
1926-05,110.54332534108536,Blanco,Contributing,pet
1926-06,161.65341453573703,Blanco,Contributing,pet
1926-07,172.6899466369869,Blanco,Contributing,pet
1926-08,175.00479337346366,Blanco,Contributing,pet
1926-09,144.6751037230431,Blanco,Contributing,pet
1926-10,90.91796882536451,Blanco,Contributing,pet
1926-11,25.681931259483996,Blanco,Contributing,pet
1926-12,16.291771484715515,Blanco,Contributing,pet
1927-01,15.019520816841938,Blanco,Contributing,pet
1927-02,26.29745696723605,Blanco,Contributing,pet
1927-03,39.667553730466906,Blanco,Contributing,pet
1927-04,85.93167591277523,Blanco,Contributing,pet
1927-05,149.8419856922342,Blanco,Contributing,pet
1927-06,153.43633447476745,Blanco,Contributing,pet
1927-07,189.43797270629506,Blanco,Contributing,pet
1927-08,193.08936511668733,Blanco,Contributing,pet
1927-09,132.03637706186302,Blanco,Contributing,pet
1927-10,74.41528457175515,Blanco,Contributing,pet
1927-11,58.14892412583965,Blanco,Contributing,pet
1927-12,7.346789118128347,Blanco,Contributing,pet
1928-01,12.77528304069297,Blanco,Contributing,pet
1928-02,16.878179877091608,Blanco,Contributing,pet
1928-03,49.53424370447321,Blanco,Contributing,pet
1928-04,55.810401812100906,Blanco,Contributing,pet
1928-05,112.07707505734325,Blanco,Contributing,pet
1928-06,158.9782415062955,Blanco,Contributing,pet
1928-07,193.18157470076596,Blanco,Contributing,pet
1928-08,189.32014181071125,Blanco,Contributing,pet
1928-09,109.79569723713298,Blanco,Contributing,pet
1928-10,88.06590488313091,Blanco,Contributing,pet
1928-11,28.08430559977637,Blanco,Contributing,pet
1928-12,13.643099942127035,Blanco,Contributing,pet
1929-01,15.54616767730332,Blanco,Contributing,pet
1929-02,9.004567693470914,Blanco,Contributing,pet
1929-03,54.248553780877494,Blanco,Contributing,pet
1929-04,89.15655381116308,Blanco,Contributing,pet
1929-05,113.35550228434204,Blanco,Contributing,pet
1929-06,153.98679666159404,Blanco,Contributing,pet
1929-07,160.64381470654084,Blanco,Contributing,pet
1929-08,171.76318640178405,Blanco,Contributing,pet
1929-09,122.93932069372786,Blanco,Contributing,pet
1929-10,78.53603050871497,Blanco,Contributing,pet
1929-11,16.55715911273737,Blanco,Contributing,pet
1929-12,15.823359438558724,Blanco,Contributing,pet
1930-01,2.229052385010093,Blanco,Contributing,pet
1930-02,32.33117863086329,Blanco,Contributing,pet
1930-03,30.563371961388675,Blanco,Contributing,pet
1930-04,87.20971998717815,Blanco,Contributing,pet
1930-05,110.1661278050532,Blanco,Contributing,pet
1930-06,144.4399450846689,Blanco,Contributing,pet
1930-07,181.16258559292805,Blanco,Contributing,pet
1930-08,179.63407482965164,Blanco,Contributing,pet
1930-09,130.4611469365097,Blanco,Contributing,pet
1930-10,65.9678934470234,Blanco,Contributing,pet
1930-11,28.513894297152703,Blanco,Contributing,pet
1930-12,9.98497514858363,Blanco,Contributing,pet
1931-01,12.621341534418866,Blanco,Contributing,pet
1931-02,22.713244289569268,Blanco,Contributing,pet
1931-03,25.564772699688177,Blanco,Contributing,pet
1931-04,48.15427115602884,Blanco,Contributing,pet
1931-05,101.13121632319124,Blanco,Contributing,pet
1931-06,162.31970122943983,Blanco,Contributing,pet
1931-07,177.61372876258827,Blanco,Contributing,pet
1931-08,159.75638800756775,Blanco,Contributing,pet
1931-09,143.5806245002077,Blanco,Contributing,pet
1931-10,102.04696410289556,Blanco,Contributing,pet
1931-11,46.06032495774691,Blanco,Contributing,pet
1931-12,16.7940173584931,Blanco,Contributing,pet
1932-01,18.475684943143218,Blanco,Contributing,pet
1932-02,36.07993740478743,Blanco,Contributing,pet
1932-03,28.544518739454773,Blanco,Contributing,pet
1932-04,77.8990623500462,Blanco,Contributing,pet
1932-05,115.79222152581382,Blanco,Contributing,pet
1932-06,166.8394315489399,Blanco,Contributing,pet
1932-07,187.96044691883145,Blanco,Contributing,pet
1932-08,170.6342553666514,Blanco,Contributing,pet
1932-09,108.94841595230845,Blanco,Contributing,pet
1932-10,63.02015924186631,Blanco,Contributing,pet
1932-11,22.57332373628251,Blanco,Contributing,pet
1932-12,10.6427618987098,Blanco,Contributing,pet
1933-01,23.266323151148388,Blanco,Contributing,pet
1933-02,10.179379507361727,Blanco,Contributing,pet
1933-03,47.13050932441095,Blanco,Contributing,pet
1933-04,71.88182931558306,Blanco,Contributing,pet
1933-05,137.8809953113687,Blanco,Contributing,pet
1933-06,153.97414917512322,Blanco,Contributing,pet
1933-07,200.72585043299483,Blanco,Contributing,pet
1933-08,177.2091231270487,Blanco,Contributing,pet
1933-09,151.12780742179586,Blanco,Contributing,pet
